ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Gender_M
1,4,2,177,3,44,1233,1,False,False,True,False,False,False,True,False,False
2,4,5,216,2,59,3088,1,False,False,False,True,False,False,True,False,True
3,2,2,183,4,48,3374,1,False,False,False,False,False,False,True,False,True
4,3,3,176,4,10,1177,1,True,False,False,False,False,False,False,True,True
5,2,2,184,3,46,2484,1,False,True,False,False,False,False,False,True,False
6,3,1,162,3,12,1417,1,False,False,False,True,False,False,False,True,False
7,3,4,250,3,3,2371,1,False,False,True,False,False,False,True,False,False
8,4,1,233,2,48,2804,1,False,False,False,True,False,False,True,False,False
9,3,4,150,3,11,1861,1,False,False,False,False,False,False,True,False,False
10,3,2,164,3,29,1187,1,True,False,False,False,False,False,False,True,False
11,3,4,189,2,12,2888,1,False,True,False,False,False,False,False,True,True
12,4,5,232,3,32,3253,1,False,False,False,True,False,False,False,True,False
13,3,5,198,3,1,3667,1,False,False,True,False,False,False,False,True,False
14,4,4,275,3,29,2602,1,False,False,False,True,False,False,False,False,True
15,4,3,152,3,43,1009,1,False,False,False,False,False,False,True,False,True
16,4,3,227,3,45,2707,1,True,False,False,False,False,False,True,False,False
17,3,4,143,2,6,1194,1,False,True,False,False,False,False,False,True,False
18,5,5,227,3,36,3952,1,False,False,False,True,False,True,False,True,True
19,5,5,239,3,18,2495,1,False,False,True,False,False,True,False,False,True
20,4,5,145,3,45,1059,1,False,False,False,True,False,True,False,True,True
21,3,3,161,2,38,1521,1,False,False,False,False,False,True,False,True,False
22,3,1,232,4,51,2899,1,True,False,False,False,False,True,False,True,False
23,2,5,156,2,2,1750,1,False,True,False,False,False,True,True,False,True
24,4,3,211,3,12,3922,1,False,False,False,True,False,True,False,False,True
25,4,5,251,2,28,3561,1,False,False,True,False,False,True,False,True,False
26,3,1,225,4,29,3496,1,False,False,False,True,False,True,True,False,True
27,4,1,172,3,24,1066,1,False,False,False,False,False,True,False,False,False
28,5,1,162,3,31,1435,1,True,False,False,False,False,True,False,True,True
29,2,3,234,4,44,3134,1,False,True,False,False,False,True,True,False,True
30,5,4,183,2,36,3819,1,False,False,False,True,False,True,True,False,False
31,3,4,266,2,38,2741,1,False,False,True,False,False,True,False,True,False
32,5,3,257,2,61,3341,1,False,False,False,True,False,True,True,False,False
33,3,1,223,3,22,3795,1,False,False,False,False,False,True,True,False,False
34,4,2,234,3,4,3261,1,True,False,False,False,False,True,False,True,True
35,4,2,227,4,22,2460,1,False,True,False,False,False,True,False,True,False
36,5,4,149,3,44,1811,1,False,False,False,True,False,True,False,True,False
37,3,5,137,4,62,1477,1,False,False,True,False,False,True,False,False,False
38,2,4,181,6,16,3605,1,False,False,False,True,False,True,False,True,False
39,5,1,215,4,56,3905,1,False,False,False,False,False,True,True,False,False
40,4,2,269,5,45,2383,1,True,False,False,False,False,True,True,False,False
41,5,1,227,2,15,3798,1,False,True,False,False,False,True,True,False,True
42,5,5,139,4,61,1265,1,False,False,False,True,False,True,False,True,True
43,3,5,137,2,38,1647,1,False,False,True,False,False,True,False,True,True
44,3,1,174,2,44,1556,1,False,False,False,True,False,True,True,False,True
45,3,1,151,2,29,1328,1,False,False,False,False,False,True,True,False,True
46,5,1,210,3,9,2944,1,True,False,False,False,False,True,True,False,False
47,3,4,169,4,32,1245,1,False,True,False,False,False,True,False,True,False
48,5,1,160,2,32,1576,1,False,False,False,True,False,True,True,False,True
49,5,4,190,2,9,3753,1,False,False,True,False,False,True,False,True,True
50,5,3,216,3,40,2146,1,False,False,False,True,False,True,True,False,False
51,4,1,183,3,37,2042,1,False,False,False,False,False,True,True,False,True
52,4,4,141,3,22,1735,1,True,False,False,False,False,True,True,False,True
53,4,3,165,3,44,1320,1,False,True,False,False,False,True,True,False,False
54,2,1,170,3,41,1128,1,False,False,False,True,False,True,True,False,True
55,4,3,203,3,12,3539,1,False,False,True,False,False,True,False,False,True
56,2,5,246,5,46,2437,1,False,False,False,True,False,True,True,False,True
57,3,3,238,3,61,3096,1,False,False,False,False,False,True,True,False,False
58,3,3,193,3,29,3453,1,True,False,False,False,False,True,False,True,False
59,5,5,141,3,41,1367,1,False,True,False,False,False,True,False,False,True
60,4,1,150,3,17,1923,1,False,False,False,True,False,True,False,False,False
61,3,1,221,3,64,2794,1,False,False,True,False,False,True,True,False,False
62,3,3,179,3,52,1158,1,False,False,False,True,False,True,False,True,True
63,5,1,105,6,62,1292,1,False,False,False,False,False,True,False,True,True
64,3,1,177,3,61,1880,1,True,False,False,False,False,True,False,True,True
65,4,5,261,2,49,3045,1,False,True,False,False,False,True,False,False,True
66,3,2,202,3,49,2881,1,False,False,False,True,False,True,True,False,True
67,3,2,109,3,15,1710,1,False,False,True,False,False,True,False,True,False
68,3,3,158,3,6,1878,1,False,False,False,True,False,True,True,False,False
69,4,2,231,4,6,2512,1,False,False,False,False,False,True,False,True,False
70,3,5,206,3,39,2929,1,True,False,False,False,False,True,False,True,True
71,5,1,187,4,14,3849,1,False,True,False,False,False,True,False,False,True
72,5,5,230,2,2,2229,1,False,False,False,True,False,True,True,False,False
73,5,5,232,3,33,2998,1,False,False,True,False,False,True,False,True,False
74,4,5,215,3,21,3984,1,False,False,False,True,False,True,False,True,False
75,6,1,238,6,13,2442,1,False,False,False,False,False,True,True,False,False
76,4,1,266,3,23,3775,1,True,False,False,False,False,True,True,False,False
77,2,3,158,2,36,1788,1,False,True,False,False,False,True,False,True,False
78,3,3,113,3,43,1518,1,False,False,False,True,False,True,True,False,False
79,3,4,223,3,18,3959,1,False,False,True,False,False,True,True,False,True
80,3,5,257,2,56,3711,1,False,False,False,True,False,True,False,True,False
81,3,4,180,2,49,1942,1,False,False,False,False,False,True,False,True,False
82,2,5,132,3,18,1759,1,True,False,False,False,False,True,True,False,True
83,4,4,217,3,26,2875,1,False,True,False,False,False,True,False,False,False
84,5,5,162,3,31,1364,1,False,False,False,True,False,True,False,False,False
85,4,5,197,2,40,2710,1,False,False,True,False,False,True,False,True,False
86,3,4,197,3,13,2148,1,False,False,False,True,False,True,False,True,True
87,4,1,185,2,44,2910,1,False,False,False,False,False,True,True,False,True
88,6,2,278,3,3,2974,1,True,False,False,False,False,True,False,True,False
89,3,3,229,3,49,2339,1,False,True,False,False,False,True,True,False,True
90,4,1,186,4,57,3880,1,False,False,False,True,False,True,False,True,False
91,5,3,174,6,41,1085,1,False,False,True,False,False,True,False,False,False
92,5,5,286,3,18,3163,1,False,False,False,True,False,True,True,False,False
93,4,4,175,2,7,1188,1,False,False,False,False,False,True,False,True,False
94,3,3,219,3,17,3387,1,True,False,False,False,False,True,False,True,False
95,4,1,213,4,35,2343,1,False,True,False,False,False,True,False,False,False
96,2,3,235,3,57,2034,1,False,False,False,True,False,True,True,False,True
97,3,3,149,2,18,1225,1,False,False,True,False,False,True,False,True,True
98,4,1,271,2,8,2401,1,False,False,False,True,False,True,False,True,False
99,3,5,144,4,5,1104,1,False,False,False,False,False,True,False,True,True
100,4,2,145,2,21,1617,1,True,False,False,False,False,True,False,True,True
101,5,3,143,2,59,1837,1,False,True,False,False,False,True,False,True,True
102,5,5,227,4,53,2624,1,False,False,False,True,False,True,True,False,True
103,2,1,213,3,29,2732,1,False,False,True,False,False,True,True,False,True
104,5,1,144,4,37,1658,1,False,False,False,True,False,True,True,False,True
105,3,3,218,3,3,2255,1,False,False,False,False,False,True,True,False,True
106,4,2,144,3,59,1588,1,True,False,False,False,False,True,False,True,True
107,3,1,238,3,17,2624,1,False,True,False,False,False,True,True,False,True
108,4,5,216,3,26,2053,1,False,False,False,True,False,True,False,False,True
