ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,target,prediction,prediction_proba
3584,F,Ship,4,5,173,3,low,7,4410,0,F,M,0.52
2255,C,Ship,4,4,176,3,high,34,1283,1,M,F,0.27
4320,F,Ship,3,5,133,3,medium,4,5902,0,F,F,0.475
4051,D,Ship,3,3,229,7,high,4,5075,1,F,M,0.61
9487,D,Ship,3,5,211,2,medium,9,4577,1,F,F,0.395
2113,D,Ship,4,2,183,3,low,5,3716,1,M,M,0.64
609,A,Ship,4,4,224,3,high,60,3145,1,M,F,0.395
5486,F,Flight,4,5,113,3,medium,10,4053,1,F,M,0.52
4835,C,Ship,3,3,153,3,medium,5,4578,1,M,M,0.56
5391,A,Ship,4,2,137,2,medium,2,5804,1,F,F,0.44
7899,A,Ship,3,4,273,2,medium,2,4219,1,M,F,0.465
10351,D,Ship,5,2,241,2,medium,2,5448,0,F,M,0.58
9082,B,Ship,3,2,247,2,low,2,4677,0,F,M,0.515
255,A,Road,2,2,152,3,low,61,1800,1,F,F,0.415
7497,A,Ship,5,5,237,5,low,1,1526,0,F,M,0.63
1492,B,Road,5,5,226,3,medium,23,2626,1,M,F,0.35
3979,D,Flight,3,2,202,2,medium,5,5135,1,M,M,0.62
9383,C,Ship,3,5,144,3,medium,9,5912,0,F,M,0.66
2321,C,Road,4,1,273,4,low,54,2611,1,F,F,0.495
1609,D,Ship,3,1,227,3,medium,52,3336,1,M,M,0.535
5698,B,Ship,3,1,191,5,medium,2,4956,1,M,F,0.475
2896,B,Ship,3,5,152,2,medium,6,1800,1,F,M,0.615
9287,C,Ship,3,4,180,3,low,2,5659,1,M,M,0.505
5881,D,Road,3,5,134,3,low,10,4693,0,F,M,0.52
2296,B,Ship,4,2,223,3,medium,56,3158,1,F,M,0.545
796,B,Road,4,1,158,3,low,32,1061,1,F,F,0.48
5137,D,Ship,4,1,273,4,low,1,4857,0,M,F,0.495
3833,C,Flight,4,1,215,3,low,2,5563,1,F,F,0.475
9937,D,Ship,4,5,251,6,low,1,1625,0,F,M,0.625
3006,F,Road,5,2,159,3,medium,63,1675,1,F,F,0.45
7126,B,Flight,4,2,266,4,low,7,4639,0,F,M,0.53
10171,D,Ship,5,2,208,8,medium,5,4751,0,M,F,0.48
9407,C,Ship,4,1,274,5,low,5,1581,1,F,F,0.42
4653,A,Road,5,1,238,4,medium,10,4668,0,M,M,0.535
6625,D,Ship,3,2,263,3,low,3,5303,0,F,M,0.675
8489,C,Road,3,3,133,2,medium,8,4241,0,M,M,0.64
5463,A,Road,6,2,304,4,low,2,1256,1,M,F,0.48
4977,A,Ship,4,5,261,3,high,2,4954,1,F,M,0.575
5170,B,Ship,4,1,196,3,low,4,4634,1,M,M,0.635
8596,B,Ship,2,1,212,2,high,8,4128,0,F,M,0.505
8543,C,Ship,4,5,144,8,medium,2,4956,1,F,F,0.375
1724,F,Ship,5,3,133,4,medium,29,1094,1,F,M,0.67
2874,F,Flight,4,4,233,2,medium,39,2291,1,M,M,0.59
490,B,Ship,3,3,235,3,low,5,3065,1,M,M,0.665
5926,B,Ship,6,5,280,3,low,9,4074,1,M,M,0.535
6429,A,Road,3,5,139,2,low,2,5839,0,M,M,0.57
4412,F,Ship,3,4,257,4,low,9,4537,0,M,M,0.67
3220,B,Ship,5,3,212,2,low,7,5219,0,F,M,0.525
360,F,Ship,4,3,131,5,low,6,1659,1,M,F,0.425
6388,B,Ship,4,1,200,2,medium,5,5249,0,F,F,0.46
1359,A,Road,4,1,241,3,medium,61,3812,1,F,M,0.555
7062,F,Ship,3,4,257,4,low,10,4415,0,M,M,0.685
7949,C,Flight,4,3,150,3,high,2,4383,0,F,F,0.46
249,A,Road,2,2,134,3,low,38,1530,1,F,F,0.385
9382,B,Ship,5,3,242,4,medium,8,4410,1,F,F,0.465
6848,F,Flight,4,1,172,3,medium,10,5106,1,F,F,0.475
10827,A,Flight,4,5,167,2,low,10,5067,0,F,M,0.6
6189,A,Ship,4,4,154,3,low,7,4106,1,F,M,0.525
5945,C,Ship,2,5,286,6,medium,5,5490,0,F,M,0.55
